Khaibit	4.000000,165.000000,14.000000,10.703289,0.096883,7.297091,
Khaibit	9.000000,148.000000,17.000000,11.660254,0.083650,7.363914,
goblue21	3.000000,161.000000,14.000000,10.613093,0.088513,7.606387,
goblue21	6.000000,111.000000,17.000000,10.152672,0.091873,7.254885,
newpong	10.000000,42.000000,14.000000,7.402796,0.200000,5.978886,
newpong	10.000000,61.000000,26.000000,7.898979,0.171533,6.306275,
LucifersCounsel	23.000000,289.000000,14.000000,8.354586,0.099295,8.090402,
LucifersCounsel	48.000000,476.000000,15.000000,8.682950,0.095712,8.501267,
cancercures	16.000000,383.000000,16.000000,11.144208,0.079748,8.287780,
cancercures	14.000000,333.000000,14.000000,11.383184,0.073907,8.173293,
Commenter2	12.000000,237.000000,15.000000,9.630650,0.099952,7.645398,
Commenter2	12.000000,214.000000,14.000000,8.853321,0.117368,7.430707,
MaximusNerdius	22.000000,177.000000,16.000000,10.459568,0.062529,7.692113,
MaximusNerdius	15.000000,183.000000,16.000000,9.429972,0.085731,7.460490,
relevantlife	13.000000,103.000000,14.000000,8.303301,0.127533,6.732211,
relevantlife	13.000000,103.000000,14.000000,7.942974,0.152632,6.633318,
el_guapo_malo	5.000000,245.000000,17.000000,9.733857,0.128407,7.409136,
el_guapo_malo	11.000000,279.000000,17.000000,10.346188,0.124932,7.509335,
Kharn0	2.000000,46.000000,17.000000,8.187655,0.158915,6.246107,
Kharn0	4.000000,69.000000,17.000000,8.138093,0.125000,6.664409,
DavidlikesPeace	10.000000,175.000000,18.000000,11.343759,0.083510,7.545390,
DavidlikesPeace	16.000000,163.000000,14.000000,10.869910,0.088849,7.424762,
dellcos	22.000000,375.000000,19.000000,8.580137,0.102954,8.117014,
dellcos	21.000000,309.000000,13.000000,8.062364,0.113556,7.841886,
JimmyHavok	3.000000,117.000000,15.000000,9.416402,0.121436,6.853299,
JimmyHavok	0.000000,77.000000,14.000000,9.456649,0.118280,6.729824,
ILikeBumblebees	10.000000,315.000000,18.000000,14.747340,0.062889,8.338545,
ILikeBumblebees	12.000000,305.000000,18.000000,14.348327,0.059823,8.309431,
Badfickle	5.000000,83.000000,13.000000,8.833043,0.130935,6.543912,
Badfickle	4.000000,32.000000,14.000000,8.099020,0.130435,6.226537,
High_Commander	5.000000,96.000000,18.000000,10.233642,0.088368,7.011214,
High_Commander	2.000000,99.000000,22.000000,9.949294,0.085640,7.052721,
Cadaverlanche	7.000000,66.000000,17.000000,9.037855,0.119143,6.616065,
Cadaverlanche	5.000000,73.000000,14.000000,8.225676,0.131902,6.480045,
UncleTogie	14.000000,135.000000,15.000000,8.500784,0.100149,7.198931,
UncleTogie	7.000000,87.000000,13.000000,8.447048,0.126147,6.770789,
deeva	29.000000,436.000000,16.000000,10.103880,0.077741,8.206856,
deeva	58.000000,585.000000,16.000000,10.585577,0.073806,8.665441,
SeanCanary	6.000000,240.000000,18.000000,9.475161,0.106577,7.641564,
SeanCanary	6.000000,138.000000,18.000000,8.872665,0.093168,7.383989,
CrappySpeakers	12.000000,177.000000,23.000000,10.010331,0.092794,7.564757,
CrappySpeakers	11.000000,186.000000,23.000000,9.871604,0.098678,7.583756,
caferrell	0.000000,106.000000,17.000000,10.071068,0.104326,7.072422,
caferrell	1.000000,109.000000,15.000000,9.280481,0.101485,7.100027,
Z0idberg_MD	4.000000,215.000000,15.000000,8.938279,0.099581,7.672758,
Z0idberg_MD	8.000000,205.000000,15.000000,8.757443,0.103748,7.518064,
goldandguns	6.000000,67.000000,14.000000,8.575333,0.110981,6.752270,
goldandguns	11.000000,89.000000,14.000000,8.982930,0.101254,6.944087,
